disease,framework,seed,f1
Apple_scab,one_stage,0,0.9142857142857144
Apple_scab,one_stage,1,0.935483870967742
Apple_scab,one_stage,42,0.9574468085106383
Apple_scab,one_stage,123,0.972972972972973
Apple_scab,one_stage,492,0.9213483146067416
Apple_scab,two_stage,0,0.9637305699481864
Apple_scab,two_stage,1,0.9346733668341708
Apple_scab,two_stage,42,0.9447236180904522
Apple_scab,two_stage,123,0.9441624365482234
Apple_scab,two_stage,492,0.953846153846154
Apple_scab,attention,0,0.9626251147607985
Apple_scab,attention,1,0.9883445070828039
Apple_scab,attention,42,0.9786907585056205
Apple_scab,attention,123,0.981023392687572
Apple_scab,attention,492,0.9707237433392999
Apple_scab,gating,0,0.9585527829511082
Apple_scab,gating,1,0.9748255538767907
Apple_scab,gating,42,0.9717639204749223
Apple_scab,gating,123,0.9724758845103253
Apple_scab,gating,492,0.9653909944066007
Apple_scab,ffs,0,0.9420191252642316
Apple_scab,ffs,1,0.9323193391894112
Apple_scab,ffs,42,0.9062360772785895
Apple_scab,ffs,123,0.9523856168205004
Apple_scab,ffs,492,0.9570566072702796
Apple_scab,ffc,0,0.9533641946793826
Apple_scab,ffc,1,0.9170215421878608
Apple_scab,ffc,42,0.9339115805028809
Apple_scab,ffc,123,0.9495328476725815
Apple_scab,ffc,492,0.925155410972266
Apple_scab,film,0,0.9152878902011412
Apple_scab,film,1,0.9476102583278927
Apple_scab,film,42,0.9269286545560627
Apple_scab,film,123,0.9331140913217357
Apple_scab,film,492,0.9365453355237309
Bacterial_spot,one_stage,0,0.9584759082958167
Bacterial_spot,one_stage,1,0.9582104169758124
Bacterial_spot,one_stage,42,0.9612847603391876
Bacterial_spot,one_stage,123,0.9457069152585816
Bacterial_spot,one_stage,492,0.9538298405320981
Bacterial_spot,two_stage,0,0.9718328946118525
Bacterial_spot,two_stage,1,0.9703430436620256
Bacterial_spot,two_stage,42,0.9696337617565245
Bacterial_spot,two_stage,123,0.972978151391473
Bacterial_spot,two_stage,492,0.9778013435731556
Bacterial_spot,attention,0,0.9776305713683701
Bacterial_spot,attention,1,0.9769006787617225
Bacterial_spot,attention,42,0.9786248480779425
Bacterial_spot,attention,123,0.9678277173962969
Bacterial_spot,attention,492,0.9609125186744288
Bacterial_spot,gating,0,0.9724829938086698
Bacterial_spot,gating,1,0.9822330034571116
Bacterial_spot,gating,42,0.9547158936268436
Bacterial_spot,gating,123,0.9774263512190916
Bacterial_spot,gating,492,0.9744215429440634
Bacterial_spot,ffs,0,0.9262816899170278
Bacterial_spot,ffs,1,0.9307301584976111
Bacterial_spot,ffs,42,0.9035406963435733
Bacterial_spot,ffs,123,0.9204751543681705
Bacterial_spot,ffs,492,0.9311384612070116
Bacterial_spot,ffc,0,0.9274216233521199
Bacterial_spot,ffc,1,0.914416093209741
Bacterial_spot,ffc,42,0.9116939673421571
Bacterial_spot,ffc,123,0.9244588897495524
Bacterial_spot,ffc,492,0.8890310843505687
Bacterial_spot,film,0,0.8671155696117823
Bacterial_spot,film,1,0.919660046309942
Bacterial_spot,film,42,0.8919807826864083
Bacterial_spot,film,123,0.9099422968248408
Bacterial_spot,film,492,0.9152463837736784
Black_rot,one_stage,0,0.9788664039061121
Black_rot,one_stage,1,0.9770341306751904
Black_rot,one_stage,42,0.964188520534389
Black_rot,one_stage,123,0.9714021714021714
