disease,framework,seed,f1
Apple_scab,one_stage,0,0.9142857142857144
Apple_scab,one_stage,1,0.935483870967742
Apple_scab,one_stage,42,0.9574468085106383
Apple_scab,one_stage,123,0.972972972972973
Apple_scab,one_stage,492,0.9213483146067416
Apple_scab,two_stage,0,0.9637305699481864
Apple_scab,two_stage,1,0.9346733668341708
Apple_scab,two_stage,42,0.9447236180904522
Apple_scab,two_stage,123,0.9441624365482234
Apple_scab,two_stage,492,0.953846153846154
Apple_scab,attention,0,0.96875
Apple_scab,attention,1,0.9946524064171124
Apple_scab,attention,42,0.983957219251337
Apple_scab,attention,123,0.9946524064171124
Apple_scab,attention,492,0.9893617021276596
Apple_scab,gating,0,0.9680851063829788
Apple_scab,gating,1,0.9789473684210528
Apple_scab,gating,42,0.989247311827957
Apple_scab,gating,123,0.9789473684210528
Apple_scab,gating,492,0.9735449735449736
Apple_scab,ffs,0,0.962566844919786
Apple_scab,ffs,1,0.9523809523809524
Apple_scab,ffs,42,0.9385474860335196
Apple_scab,ffs,123,0.967741935483871
Apple_scab,ffs,492,0.972972972972973
Apple_scab,ffc,0,0.972972972972973
Apple_scab,ffc,1,0.9347826086956522
Apple_scab,ffc,42,0.9565217391304348
Apple_scab,ffc,123,0.967391304347826
Apple_scab,ffc,492,0.9456521739130436
Apple_scab,film,0,0.9424083769633508
Apple_scab,film,1,0.967741935483871
Apple_scab,film,42,0.9574468085106383
Apple_scab,film,123,0.9513513513513514
Apple_scab,film,492,0.9574468085106383
Bacterial_spot,one_stage,0,0.9584759082958167
Bacterial_spot,one_stage,1,0.9582104169758124
Bacterial_spot,one_stage,42,0.9612847603391876
Bacterial_spot,one_stage,123,0.9457069152585816
Bacterial_spot,one_stage,492,0.9538298405320981
Bacterial_spot,two_stage,0,0.9718328946118525
Bacterial_spot,two_stage,1,0.9703430436620256
Bacterial_spot,two_stage,42,0.9696337617565245
Bacterial_spot,two_stage,123,0.972978151391473
Bacterial_spot,two_stage,492,0.9778013435731556
Bacterial_spot,attention,0,0.9838509316770186
Bacterial_spot,attention,1,0.9831355402873204
Bacterial_spot,attention,42,0.9838909541511772
Bacterial_spot,attention,123,0.9812734082397004
Bacterial_spot,attention,492,0.9793621013133208
Bacterial_spot,gating,0,0.9821538461538462
Bacterial_spot,gating,1,0.9863861386138614
Bacterial_spot,gating,42,0.971892567145534
Bacterial_spot,gating,123,0.9839307787391842
Bacterial_spot,gating,492,0.9826517967781908
Bacterial_spot,ffs,0,0.9464861379754996
Bacterial_spot,ffs,1,0.9507575757575758
Bacterial_spot,ffs,42,0.9357560025957172
Bacterial_spot,ffs,123,0.9353169469598964
Bacterial_spot,ffs,492,0.9466237942122186
Bacterial_spot,ffc,0,0.9464968152866242
Bacterial_spot,ffc,1,0.9321266968325792
Bacterial_spot,ffc,42,0.9337662337662338
Bacterial_spot,ffc,123,0.9418457648546144
Bacterial_spot,ffc,492,0.9087275149900068
Bacterial_spot,film,0,0.89280868385346
Bacterial_spot,film,1,0.9391979301423028
Bacterial_spot,film,42,0.9213483146067416
Bacterial_spot,film,123,0.9277266754270695
Bacterial_spot,film,492,0.935672514619883
Black_rot,one_stage,0,0.9788664039061121
Black_rot,one_stage,1,0.9770341306751904
Black_rot,one_stage,42,0.964188520534389
Black_rot,one_stage,123,0.9714021714021714
Black_rot,one_stage,492,0.9755691367456072
