class,framework,seed,f1
Apple__Apple_scab,one_stage,0,0.9142857142857144
Apple__Apple_scab,one_stage,1,0.935483870967742
Apple__Apple_scab,one_stage,42,0.9574468085106383
Apple__Apple_scab,one_stage,123,0.972972972972973
Apple__Apple_scab,one_stage,492,0.9213483146067416
Apple__Apple_scab,two_stage,0,0.9637305699481864
Apple__Apple_scab,two_stage,1,0.9346733668341708
Apple__Apple_scab,two_stage,42,0.9447236180904522
Apple__Apple_scab,two_stage,123,0.9441624365482234
Apple__Apple_scab,two_stage,492,0.953846153846154
Apple__Apple_scab,attention,0,0.96875
Apple__Apple_scab,attention,1,0.9946524064171124
Apple__Apple_scab,attention,42,0.983957219251337
Apple__Apple_scab,attention,123,0.9946524064171124
Apple__Apple_scab,attention,492,0.9893617021276596
Apple__Apple_scab,gating,0,0.9680851063829788
Apple__Apple_scab,gating,1,0.9789473684210528
Apple__Apple_scab,gating,42,0.989247311827957
Apple__Apple_scab,gating,123,0.9789473684210528
Apple__Apple_scab,gating,492,0.9735449735449736
Apple__Apple_scab,ffs,0,0.962566844919786
Apple__Apple_scab,ffs,1,0.9523809523809524
Apple__Apple_scab,ffs,42,0.9385474860335196
Apple__Apple_scab,ffs,123,0.967741935483871
Apple__Apple_scab,ffs,492,0.972972972972973
Apple__Apple_scab,ffc,0,0.972972972972973
Apple__Apple_scab,ffc,1,0.9347826086956522
Apple__Apple_scab,ffc,42,0.9565217391304348
Apple__Apple_scab,ffc,123,0.967391304347826
Apple__Apple_scab,ffc,492,0.9456521739130436
Apple__Apple_scab,film,0,0.9424083769633508
Apple__Apple_scab,film,1,0.967741935483871
Apple__Apple_scab,film,42,0.9574468085106383
Apple__Apple_scab,film,123,0.9513513513513514
Apple__Apple_scab,film,492,0.9574468085106383
Apple__Black_rot,one_stage,0,0.9633507853403142
Apple__Black_rot,one_stage,1,0.962566844919786
Apple__Black_rot,one_stage,42,0.9574468085106383
Apple__Black_rot,one_stage,123,0.9513513513513514
Apple__Black_rot,one_stage,492,0.962566844919786
Apple__Black_rot,two_stage,0,0.946808510638298
Apple__Black_rot,two_stage,1,0.9680851063829788
Apple__Black_rot,two_stage,42,0.9837837837837838
Apple__Black_rot,two_stage,123,0.968421052631579
Apple__Black_rot,two_stage,492,0.9735449735449736
Apple__Black_rot,attention,0,0.9944341372912802
Apple__Black_rot,attention,1,0.9981447124304268
Apple__Black_rot,attention,42,0.992619926199262
Apple__Black_rot,attention,123,0.9981447124304268
Apple__Black_rot,attention,492,0.9925650557620818
Apple__Black_rot,gating,0,0.9832402234636872
Apple__Black_rot,gating,1,0.994413407821229
Apple__Black_rot,gating,42,0.9831144465290806
Apple__Black_rot,gating,123,0.9870609981515712
Apple__Black_rot,gating,492,0.9849624060150376
Apple__Black_rot,ffs,0,0.9581056466302368
Apple__Black_rot,ffs,1,0.9147826086956522
Apple__Black_rot,ffs,42,0.9574861367837338
Apple__Black_rot,ffs,123,0.9273356401384084
Apple__Black_rot,ffs,492,0.9481216457960644
Apple__Black_rot,ffc,0,0.9515260323159784
Apple__Black_rot,ffc,1,0.9285714285714286
Apple__Black_rot,ffc,42,0.9547920433996384
Apple__Black_rot,ffc,123,0.9340463458110516
Apple__Black_rot,ffc,492,0.9330985915492958
Apple__Black_rot,film,0,0.9263157894736842
Apple__Black_rot,film,1,0.9380530973451328
Apple__Black_rot,film,42,0.9447415329768272
Apple__Black_rot,film,123,0.9298245614035088
Apple__Black_rot,film,492,0.9430604982206404
Apple__Cedar_apple_rust,one_stage,0,0.9620253164556962
Apple__Cedar_apple_rust,one_stage,1,0.9629629629629628
Apple__Cedar_apple_rust,one_stage,42,0.9620253164556962
Apple__Cedar_apple_rust,one_stage,123,0.9620253164556962
Apple__Cedar_apple_rust,one_stage,492,0.975609756097561
Apple__Cedar_apple_rust,two_stage,0,0.9761904761904762
Apple__Cedar_apple_rust,two_stage,1,0.9761904761904762
Apple__Cedar_apple_rust,two_stage,42,0.963855421686747
Apple__Cedar_apple_rust,two_stage,123,1.0
Apple__Cedar_apple_rust,two_stage,492,0.9761904761904762
Apple__Cedar_apple_rust,attention,0,1.0
Apple__Cedar_apple_rust,attention,1,1.0
Apple__Cedar_apple_rust,attention,42,0.9879518072289156
Apple__Cedar_apple_rust,attention,123,1.0
Apple__Cedar_apple_rust,attention,492,1.0
Apple__Cedar_apple_rust,gating,0,0.9876543209876544
Apple__Cedar_apple_rust,gating,1,1.0
Apple__Cedar_apple_rust,gating,42,1.0
Apple__Cedar_apple_rust,gating,123,1.0
Apple__Cedar_apple_rust,gating,492,1.0
Apple__Cedar_apple_rust,ffs,0,0.9156626506024096
Apple__Cedar_apple_rust,ffs,1,0.963855421686747
Apple__Cedar_apple_rust,ffs,42,0.9523809523809524
Apple__Cedar_apple_rust,ffs,123,0.9285714285714286
Apple__Cedar_apple_rust,ffs,492,0.95
Apple__Cedar_apple_rust,ffc,0,0.9090909090909092
Apple__Cedar_apple_rust,ffc,1,0.9397590361445785
Apple__Cedar_apple_rust,ffc,42,0.9629629629629628
Apple__Cedar_apple_rust,ffc,123,0.9382716049382716
Apple__Cedar_apple_rust,ffc,492,0.9397590361445785
Apple__Cedar_apple_rust,film,0,0.9285714285714286
Apple__Cedar_apple_rust,film,1,0.9411764705882352
Apple__Cedar_apple_rust,film,42,0.9523809523809524
Apple__Cedar_apple_rust,film,123,0.9382716049382716
Apple__Cedar_apple_rust,film,492,0.9397590361445785
Apple__healthy,one_stage,0,0.968421052631579
Apple__healthy,one_stage,1,0.9554140127388536
Apple__healthy,one_stage,42,0.9576271186440678
Apple__healthy,one_stage,123,0.948936170212766
Apple__healthy,one_stage,492,0.9509594882729212
Apple__healthy,two_stage,0,0.9688149688149688
Apple__healthy,two_stage,1,0.9642105263157896
Apple__healthy,two_stage,42,0.977035490605428
Apple__healthy,two_stage,123,0.9727463312368972
Apple__healthy,two_stage,492,0.9707112970711296
Apple__healthy,attention,0,0.9946435929130614
Apple__healthy,attention,1,0.9975369458128078
Apple__healthy,attention,42,0.995049504950495
Apple__healthy,attention,123,0.9975389663658736
Apple__healthy,attention,492,0.9971252566735112
Apple__healthy,gating,0,0.9908940397350994
