class,framework,seed,f1
Apple__Apple_scab,one_stage,0,0.9142857142857144
Apple__Apple_scab,one_stage,1,0.935483870967742
Apple__Apple_scab,one_stage,42,0.9574468085106383
Apple__Apple_scab,one_stage,123,0.972972972972973
Apple__Apple_scab,one_stage,492,0.9213483146067416
Apple__Apple_scab,two_stage,0,0.9637305699481864
Apple__Apple_scab,two_stage,1,0.9346733668341708
Apple__Apple_scab,two_stage,42,0.9447236180904522
Apple__Apple_scab,two_stage,123,0.9441624365482234
Apple__Apple_scab,two_stage,492,0.953846153846154
Apple__Apple_scab,attention,0,0.9625664893617022
Apple__Apple_scab,attention,1,0.9861692302429792
Apple__Apple_scab,attention,42,0.9734672702188066
Apple__Apple_scab,attention,123,0.9818731463774921
Apple__Apple_scab,attention,492,0.9569590262937843
Apple__Apple_scab,gating,0,0.9482430168238886
Apple__Apple_scab,gating,1,0.9737567673159571
Apple__Apple_scab,gating,42,0.9700593251761216
Apple__Apple_scab,gating,123,0.9674549233275291
Apple__Apple_scab,gating,492,0.9535909773234476
Apple__Apple_scab,ffs,0,0.8826267087660381
Apple__Apple_scab,ffs,1,0.8947561422808948
Apple__Apple_scab,ffs,42,0.8115344729535343
Apple__Apple_scab,ffs,123,0.9218622185866202
Apple__Apple_scab,ffs,492,0.9200587935327115
Apple__Apple_scab,ffc,0,0.9050911376492771
Apple__Apple_scab,ffc,1,0.8877366568356959
Apple__Apple_scab,ffc,42,0.8804347826086957
Apple__Apple_scab,ffc,123,0.9164759725400458
Apple__Apple_scab,ffc,492,0.87504918355302
Apple__Apple_scab,film,0,0.8483861955029701
Apple__Apple_scab,film,1,0.8994689881876963
Apple__Apple_scab,film,42,0.8384741281631626
Apple__Apple_scab,film,123,0.8930187712796409
Apple__Apple_scab,film,492,0.8859632232598441
Apple__Black_rot,one_stage,0,0.9633507853403142
Apple__Black_rot,one_stage,1,0.962566844919786
Apple__Black_rot,one_stage,42,0.9574468085106383
Apple__Black_rot,one_stage,123,0.9513513513513514
Apple__Black_rot,one_stage,492,0.962566844919786
Apple__Black_rot,two_stage,0,0.946808510638298
Apple__Black_rot,two_stage,1,0.9680851063829788
Apple__Black_rot,two_stage,42,0.9837837837837838
Apple__Black_rot,two_stage,123,0.968421052631579
Apple__Black_rot,two_stage,492,0.9735449735449736
Apple__Black_rot,attention,0,0.9880866853511231
Apple__Black_rot,attention,1,0.9896317511303805
Apple__Black_rot,attention,42,0.9820376242141952
Apple__Black_rot,attention,123,0.9853205833627982
Apple__Black_rot,attention,492,0.9600574665995681
Apple__Black_rot,gating,0,0.9630875112244098
Apple__Black_rot,gating,1,0.9891408022654431
Apple__Black_rot,gating,42,0.964045416316232
Apple__Black_rot,gating,123,0.9754733023354908
Apple__Black_rot,gating,492,0.9647743955357648
Apple__Black_rot,ffs,0,0.8785360081728907
Apple__Black_rot,ffs,1,0.8594327258812838
Apple__Black_rot,ffs,42,0.8279101685722824
Apple__Black_rot,ffs,123,0.883371546945518
Apple__Black_rot,ffs,492,0.8965589813743029
Apple__Black_rot,ffc,0,0.8851404951776543
Apple__Black_rot,ffc,1,0.8818380743982495
Apple__Black_rot,ffc,42,0.8788426763110307
Apple__Black_rot,ffc,123,0.8848860118209964
Apple__Black_rot,ffc,492,0.8634328596010452
Apple__Black_rot,film,0,0.8338991329832702
Apple__Black_rot,film,1,0.8718746593465398
Apple__Black_rot,film,42,0.8273476146779315
Apple__Black_rot,film,123,0.8728119071368499
Apple__Black_rot,film,492,0.8726510040095972
Apple__Cedar_apple_rust,one_stage,0,0.9620253164556962
Apple__Cedar_apple_rust,one_stage,1,0.9629629629629628
Apple__Cedar_apple_rust,one_stage,42,0.9620253164556962
Apple__Cedar_apple_rust,one_stage,123,0.9620253164556962
Apple__Cedar_apple_rust,one_stage,492,0.975609756097561
Apple__Cedar_apple_rust,two_stage,0,0.9761904761904762
Apple__Cedar_apple_rust,two_stage,1,0.9761904761904762
Apple__Cedar_apple_rust,two_stage,42,0.963855421686747
Apple__Cedar_apple_rust,two_stage,123,1.0
Apple__Cedar_apple_rust,two_stage,492,0.9761904761904762
Apple__Cedar_apple_rust,attention,0,0.9936170212765958
Apple__Cedar_apple_rust,attention,1,0.9914712153518124
Apple__Cedar_apple_rust,attention,42,0.9774192719706116
Apple__Cedar_apple_rust,attention,123,0.987152034261242
Apple__Cedar_apple_rust,attention,492,0.9672489082969432
Apple__Cedar_apple_rust,gating,0,0.9674111364150918
Apple__Cedar_apple_rust,gating,1,0.9946977730646872
Apple__Cedar_apple_rust,gating,42,0.980603448275862
Apple__Cedar_apple_rust,gating,123,0.9882604055496264
Apple__Cedar_apple_rust,gating,492,0.9795037756202803
Apple__Cedar_apple_rust,ffs,0,0.8396178570939047
Apple__Cedar_apple_rust,ffs,1,0.9055363367662068
Apple__Cedar_apple_rust,ffs,42,0.8234958654120331
Apple__Cedar_apple_rust,ffs,123,0.8845487478343046
Apple__Cedar_apple_rust,ffs,492,0.8983351831298557
Apple__Cedar_apple_rust,ffc,0,0.8456659619450316
Apple__Cedar_apple_rust,ffc,1,0.8924626295114815
Apple__Cedar_apple_rust,ffc,42,0.8863636363636361
Apple__Cedar_apple_rust,ffc,123,0.8888888888888888
Apple__Cedar_apple_rust,ffc,492,0.8695960311835579
Apple__Cedar_apple_rust,film,0,0.835929731521379
Apple__Cedar_apple_rust,film,1,0.8747776826296025
Apple__Cedar_apple_rust,film,42,0.8340377571146803
Apple__Cedar_apple_rust,film,123,0.8807410160067164
Apple__Cedar_apple_rust,film,492,0.8695960311835579
Apple__healthy,one_stage,0,0.968421052631579
Apple__healthy,one_stage,1,0.9554140127388536
Apple__healthy,one_stage,42,0.9576271186440678
Apple__healthy,one_stage,123,0.948936170212766
Apple__healthy,one_stage,492,0.9509594882729212
Apple__healthy,two_stage,0,0.9688149688149688
Apple__healthy,two_stage,1,0.9642105263157896
Apple__healthy,two_stage,42,0.977035490605428
Apple__healthy,two_stage,123,0.9727463312368972
Apple__healthy,two_stage,492,0.9707112970711296
Apple__healthy,attention,0,0.988294804022127
Apple__healthy,attention,1,0.9890291680233596
Apple__healthy,attention,42,0.9844413012729843
Apple__healthy,attention,123,0.9847226199029288
