framework,model,seed,joint_accuracy,joint_balanced_accuracy,joint_macro_f1,joint_weighted_f1,species_macro_f1,species_weighted_f1,disease_macro_f1,disease_weighted_f1,ece
one_stage,vgg16,0,0.9466577763,0.9443612357,0.9437043979,0.9466910916,0.9855923948,0.9889476754,0.9353029268,0.9504489625,0.007588559791
one_stage,vgg16,1,0.9456576096,0.9439974819,0.9433895822,0.9461727846,0.9839286774,0.9870900389,0.9354896212,0.9500076078,0.008596952182
one_stage,vgg16,42,0.9399899983,0.9414447871,0.9386156601,0.9405855472,0.9872429761,0.9897919727,0.9303809509,0.943737526,0.01235893491
one_stage,vgg16,123,0.9389898316,0.9362141657,0.934499539,0.9396308726,0.9851403629,0.9875842858,0.928787253,0.9451248121,0.007042153244
one_stage,vgg16,492,0.9463243874,0.9452669304,0.9438161961,0.9462449364,0.9844710699,0.9887862062,0.9368094476,0.9499904384,0.006085231138
one_stage,resnet50,0,0.8458076346,0.8546732699,0.8308753533,0.8454910778,0.9591982013,0.9694721181,0.8233415896,0.8533356584,0.2071983897
one_stage,resnet50,1,0.8398066344,0.8437566692,0.8227737766,0.8406247794,0.9601458073,0.9683017292,0.8126603724,0.8477699629,0.1994702868
one_stage,resnet50,42,0.8356392732,0.8415037555,0.8158161317,0.8350656231,0.9529419659,0.9644924426,0.8052927275,0.8425285787,0.197460558
one_stage,resnet50,123,0.8393065511,0.8492884637,0.8238746541,0.8391636212,0.9608559177,0.9706442952,0.8116696687,0.8452189131,0.2005199812
one_stage,resnet50,492,0.83963994,0.8454877979,0.8223871513,0.8417444452,0.9596144023,0.9698467047,0.8100590022,0.847993454,0.1988670986
one_stage,efficientnetb0,0,0.8013002167,0.8045483322,0.7748911801,0.8037271609,0.9043893431,0.9276761408,0.7626056046,0.8262493088,0.3806464778
one_stage,efficientnetb0,1,0.7962993832,0.806673726,0.7698310553,0.7970730899,0.8974171367,0.9215887101,0.7564982964,0.821071636,0.3744363005
one_stage,efficientnetb0,42,0.793632272,0.7959974036,0.765220557,0.7943229139,0.9023374502,0.9242457561,0.7502629496,0.8220474535,0.3688331121
one_stage,efficientnetb0,123,0.8101350225,0.8145153381,0.7823867402,0.8114379813,0.9068418417,0.929714828,0.7741093493,0.8342627464,0.3888633471
one_stage,efficientnetb0,492,0.7967994666,0.8045143902,0.7746154879,0.7967324923,0.9007751722,0.9244592953,0.7580273175,0.8240246171,0.3658723258
one_stage,mobilenetv2,0,0.7207867978,0.7200211509,0.6856612812,0.7177824938,0.8442654982,0.8805417032,0.6829793093,0.7463514659,0.2303105005
one_stage,mobilenetv2,1,0.7344557426,0.7333369179,0.6992744691,0.7314315083,0.8586287005,0.8880108243,0.6943374306,0.760952621,0.2383267612
one_stage,mobilenetv2,42,0.7292882147,0.7273538037,0.6953885716,0.7248723288,0.8461518368,0.8777971343,0.6937855811,0.7499267573,0.2407747691
one_stage,mobilenetv2,123,0.7484580763,0.7496159626,0.7299967148,0.7479265848,0.8748336484,0.9009491454,0.7169508519,0.7698998238,0.2482871446
one_stage,mobilenetv2,492,0.7309551592,0.7156009719,0.6929408085,0.7293626495,0.8436792052,0.8780774271,0.6974194142,0.753015697,0.2417086052
two_stage,vgg16,0,0.9311551925,0.9114847453,0.6353072073,0.9387487586,0.9624941659,0.9655701026,0.9542974572,0.9645541292,0.01619852189
two_stage,vgg16,1,0.9276546091,0.9094023896,0.6101139831,0.9352068039,0.959512106,0.9646863812,0.9497517837,0.9605396237,0.01593841027
two_stage,vgg16,42,0.934655776,0.9161020958,0.6004378399,0.9417867734,0.967495783,0.9715146122,0.9495164956,0.9620018159,0.00950958831
two_stage,vgg16,123,0.9386564427,0.9211941425,0.5913804097,0.9449558296,0.9755262423,0.9777666088,0.9456681901,0.9600365936,0.00585914846
two_stage,vgg16,492,0.9366561094,0.9181625899,0.6004141204,0.9429359565,0.9702926349,0.9730474297,0.946038434,0.9626611856,0.01000913651
two_stage,resnet50,0,0.5264169068,0.5415977164,0.2777349854,0.5222238805,0.86333798,0.8566796226,0.6229690657,0.5764176871,0.01948958695
two_stage,resnet50,1,0.5110470701,0.498222101,0.2655759699,0.5081033257,0.8486828681,0.8496931885,0.5774911835,0.5470293912,0.03643606205
two_stage,resnet50,42,0.5187319885,0.5088803337,0.2572549693,0.5253202133,0.8558818773,0.8442641778,0.5900283539,0.5814404293,0.03290003613
two_stage,resnet50,123,0.5878962536,0.5477296561,0.3490914989,0.5762991036,0.8692616489,0.8752237742,0.6101924695,0.6323716751,0.07466159285
two_stage,resnet50,492,0.5196926033,0.5136515153,0.2508319526,0.519091524,0.8496493188,0.8568440062,0.6047085396,0.5779036155,0.01994041966
two_stage,efficientnetb0,0,0.5100864553,0.5062592358,0.1818939329,0.514868109,0.815861413,0.8523534501,0.6259093292,0.5919400452,0.2169731038
two_stage,efficientnetb0,1,0.5235350624,0.5408852886,0.2059334048,0.5280746554,0.8215938138,0.8485584649,0.6355113134,0.6185195948,0.2392390263
two_stage,efficientnetb0,42,0.5389048991,0.5213353531,0.2071793934,0.5573524833,0.8362843322,0.8650214488,0.6163596218,0.6329262541,0.256437153
two_stage,efficientnetb0,123,0.4918347743,0.4992988505,0.1763671299,0.4941110452,0.8003463305,0.839426114,0.6017532346,0.5731450164,0.1991283847
two_stage,efficientnetb0,492,0.507204611,0.5193170956,0.1920893832,0.5113311812,0.8261941129,0.8596371144,0.6179496744,0.600578038,0.1842580078
