class,precision,recall,f1,support
Apple_scab,1.0,0.9893617021276596,0.9946524064171123,94
Bacterial_spot,0.9961977186311787,0.966789667896679,0.9812734082397003,813
Black_rot,1.0,0.9962962962962963,0.9981447124304267,270
Cedar_apple_rust,1.0,1.0,1.0,41
Cercospora_leaf_spot Gray_leaf_spot,0.9565217391304348,0.8571428571428571,0.9041095890410958,77
Common_rust_,1.0,0.994413407821229,0.9971988795518207,179
Early_blight,0.9832214765100671,0.9766666666666667,0.979933110367893,300
Esca_(Black_Measles),1.0,0.9903381642512077,0.9951456310679612,207
Late_blight,0.9863636363636363,0.9954128440366973,0.9908675799086758,436
Leaf_Mold,1.0,1.0,1.0,143
Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,162
Leaf_scorch,0.9940476190476191,1.0,0.9970149253731343,167
Northern_Leaf_Blight,0.922077922077922,0.9594594594594594,0.9403973509933775,148
Powdery_mildew,1.0,0.9746835443037974,0.9871794871794872,158
Septoria_leaf_spot,0.9630996309963099,0.9849056603773585,0.9738805970149254,265
Spider_mites Two-spotted_spider_mite,0.984313725490196,0.996031746031746,0.9901380670611439,252
Target_Spot,0.9532710280373832,0.9714285714285714,0.9622641509433962,210
Tomato_Yellow_Leaf_Curl_Virus,0.9816849816849816,1.0,0.9907578558225508,804
Tomato_mosaic_virus,1.0,1.0,1.0,56
healthy,0.9959049959049959,0.9991783073130649,0.9975389663658737,1217
