class,precision,recall,f1,support
Apple_scab,0.9666666666666667,0.925531914893617,0.9456521739130435,94
Bacterial_spot,0.9912790697674418,0.8388683886838868,0.9087275149900067,813
Black_rot,0.889261744966443,0.9814814814814815,0.9330985915492958,270
Cedar_apple_rust,0.9285714285714286,0.9512195121951219,0.9397590361445783,41
Cercospora_leaf_spot Gray_leaf_spot,0.9230769230769231,0.7792207792207793,0.8450704225352113,77
Common_rust_,0.994413407821229,0.994413407821229,0.994413407821229,179
Early_blight,0.9290780141843972,0.8733333333333333,0.9003436426116839,300
Esca_(Black_Measles),1.0,0.8840579710144928,0.9384615384615385,207
Late_blight,0.9389140271493213,0.9518348623853211,0.9453302961275627,436
Leaf_Mold,0.9285714285714286,0.9090909090909091,0.9187279151943463,143
Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9876543209876543,0.9937888198757764,162
Leaf_scorch,0.9880952380952381,0.9940119760479041,0.991044776119403,167
Northern_Leaf_Blight,0.8674698795180723,0.972972972972973,0.9171974522292994,148
Powdery_mildew,0.9872611464968153,0.9810126582278481,0.9841269841269841,158
Septoria_leaf_spot,0.7627627627627628,0.9584905660377359,0.8494983277591973,265
Spider_mites Two-spotted_spider_mite,0.8791208791208791,0.9523809523809523,0.9142857142857143,252
Target_Spot,0.6666666666666666,0.9333333333333333,0.7777777777777778,210
Tomato_Yellow_Leaf_Curl_Virus,0.9705882352941176,0.9850746268656716,0.9777777777777777,804
Tomato_mosaic_virus,0.8333333333333334,0.9821428571428571,0.9016393442622951,56
healthy,0.9792566983578219,0.9309778142974527,0.9545071609098568,1217
