class,precision,recall,f1,support
Apple_scab,0.9782608695652174,0.9574468085106383,0.967741935483871,94
Bacterial_spot,0.9863574351978172,0.8892988929889298,0.9353169469598965,813
Black_rot,0.8701298701298701,0.9925925925925926,0.9273356401384083,270
Cedar_apple_rust,0.9069767441860465,0.9512195121951219,0.9285714285714286,41
Cercospora_leaf_spot Gray_leaf_spot,0.9014084507042254,0.8311688311688312,0.8648648648648649,77
Common_rust_,1.0,0.994413407821229,0.9971988795518207,179
Early_blight,0.9379562043795621,0.8566666666666667,0.8954703832752613,300
Esca_(Black_Measles),1.0,0.8599033816425121,0.9246753246753247,207
Late_blight,0.926829268292683,0.9587155963302753,0.9425028184892897,436
Leaf_Mold,0.9765625,0.8741258741258742,0.922509225092251,143
Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9814814814814815,0.9906542056074766,162
Leaf_scorch,1.0,0.9880239520958084,0.9939759036144579,167
Northern_Leaf_Blight,0.8950617283950617,0.9797297297297297,0.9354838709677419,148
Powdery_mildew,0.9936305732484076,0.9873417721518988,0.9904761904761905,158
Septoria_leaf_spot,0.8063492063492064,0.9584905660377359,0.8758620689655172,265
Spider_mites Two-spotted_spider_mite,0.9029850746268657,0.9603174603174603,0.9307692307692308,252
Target_Spot,0.6888111888111889,0.9380952380952381,0.7943548387096774,210
Tomato_Yellow_Leaf_Curl_Virus,0.9778869778869779,0.9900497512437811,0.9839307787391842,804
Tomato_mosaic_virus,0.84375,0.9642857142857143,0.9,56
healthy,0.986990459670425,0.9350862777321282,0.960337552742616,1217
