class,precision,recall,f1,support
Apple_scab,0.9782608695652174,0.9574468085106383,0.967741935483871,94
Bacterial_spot,0.990450204638472,0.8929889298892989,0.9391979301423027,813
Black_rot,0.8983050847457628,0.9814814814814815,0.9380530973451328,270
Cedar_apple_rust,0.9090909090909091,0.975609756097561,0.9411764705882353,41
Cercospora_leaf_spot Gray_leaf_spot,0.8648648648648649,0.8311688311688312,0.847682119205298,77
Common_rust_,1.0,1.0,1.0,179
Early_blight,0.9553903345724907,0.8566666666666667,0.9033391915641477,300
Esca_(Black_Measles),0.9895287958115183,0.9130434782608695,0.949748743718593,207
Late_blight,0.9334811529933481,0.9655963302752294,0.9492671927846674,436
Leaf_Mold,0.9846153846153847,0.8951048951048951,0.9377289377289377,143
Leaf_blight_(Isariopsis_Leaf_Spot),0.9876543209876543,0.9876543209876543,0.9876543209876543,162
Leaf_scorch,0.9940476190476191,1.0,0.9970149253731343,167
Northern_Leaf_Blight,0.9102564102564102,0.9594594594594594,0.9342105263157895,148
Powdery_mildew,0.9935897435897436,0.9810126582278481,0.9872611464968153,158
Septoria_leaf_spot,0.8514851485148515,0.9735849056603774,0.9084507042253521,265
Spider_mites Two-spotted_spider_mite,0.9115384615384615,0.9404761904761905,0.92578125,252
Target_Spot,0.6985815602836879,0.9380952380952381,0.8008130081300813,210
Tomato_Yellow_Leaf_Curl_Virus,0.9401408450704225,0.996268656716418,0.967391304347826,804
Tomato_mosaic_virus,0.8615384615384616,1.0,0.9256198347107438,56
healthy,0.9841688654353562,0.9194741166803615,0.9507221750212405,1217
