class,precision,recall,f1,support
Apple_scab,1.0,0.9468085106382979,0.9726775956284153,94
Bacterial_spot,0.989821882951654,0.956949569495695,0.9731081926203877,813
Black_rot,1.0,0.9851851851851852,0.9925373134328358,270
Cedar_apple_rust,1.0,0.975609756097561,0.9876543209876543,41
Cercospora_leaf_spot Gray_leaf_spot,0.9558823529411765,0.8441558441558441,0.896551724137931,77
Common_rust_,1.0,1.0,1.0,179
Early_blight,0.9659863945578231,0.9466666666666667,0.9562289562289562,300
Esca_(Black_Measles),1.0,0.9855072463768116,0.9927007299270073,207
Late_blight,0.9666666666666667,0.9977064220183486,0.981941309255079,436
Leaf_Mold,1.0,1.0,1.0,143
Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9876543209876543,0.9937888198757764,162
Leaf_scorch,0.9881656804733728,1.0,0.9940476190476191,167
Northern_Leaf_Blight,0.9225806451612903,0.9662162162162162,0.9438943894389439,148
Powdery_mildew,1.0,0.9746835443037974,0.9871794871794872,158
Septoria_leaf_spot,0.9527272727272728,0.9886792452830189,0.9703703703703703,265
Spider_mites Two-spotted_spider_mite,0.9766536964980544,0.996031746031746,0.9862475442043221,252
Target_Spot,0.9324324324324325,0.9857142857142858,0.9583333333333334,210
Tomato_Yellow_Leaf_Curl_Virus,0.9852941176470589,1.0,0.9925925925925926,804
Tomato_mosaic_virus,1.0,1.0,1.0,56
healthy,0.9958881578947368,0.9950698438783895,0.9954788327168105,1217
