class,precision,recall,f1,support
Apple__Apple_scab,0.9876543209876543,0.851063829787234,0.9142857142857143,94
Apple__Black_rot,0.9387755102040817,0.989247311827957,0.9633507853403142,93
Apple__Cedar_apple_rust,1.0,0.926829268292683,0.9620253164556962,41
Apple__healthy,1.0,0.9387755102040817,0.968421052631579,245
Cherry_(including_sour)__Powdery_mildew,0.9935064935064936,0.9683544303797469,0.9807692307692307,158
Cherry_(including_sour)__healthy,1.0,0.984375,0.9921259842519685,128
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,0.8831168831168831,0.8831168831168831,0.8831168831168831,77
Corn_(maize)__Common_rust_,1.0,0.994413407821229,0.9971988795518207,179
Corn_(maize)__Northern_Leaf_Blight,0.9328859060402684,0.9391891891891891,0.936026936026936,148
Corn_(maize)__healthy,1.0,1.0,1.0,174
Grape__Black_rot,0.9888268156424581,1.0,0.9943820224719101,177
Grape__Esca_(Black_Measles),1.0,0.9951690821256038,0.9975786924939467,207
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9938271604938271,0.9969040247678018,162
Grape__healthy,0.9846153846153847,1.0,0.9922480620155039,64
Peach__Bacterial_spot,0.9739130434782609,0.9739130434782609,0.9739130434782609,345
Peach__healthy,0.9152542372881356,1.0,0.9557522123893806,54
"Pepper,_bell__Bacterial_spot",0.9861111111111112,0.9530201342281879,0.9692832764505119,149
"Pepper,_bell__healthy",0.9650655021834061,0.9954954954954955,0.9800443458980045,222
Potato__Early_blight,0.9673202614379085,0.9866666666666667,0.976897689768977,150
Potato__Late_blight,0.9652777777777778,0.9266666666666666,0.9455782312925171,150
Potato__healthy,1.0,0.9565217391304348,0.9777777777777777,23
Strawberry__Leaf_scorch,0.9823529411764705,1.0,0.9910979228486647,167
Strawberry__healthy,0.9852941176470589,0.9852941176470589,0.9852941176470589,68
Tomato__Bacterial_spot,0.986013986013986,0.8840125391849529,0.9322314049586777,319
Tomato__Early_blight,0.9711538461538461,0.6733333333333333,0.7952755905511811,150
Tomato__Late_blight,0.9434628975265018,0.9335664335664335,0.9384885764499121,286
Tomato__Leaf_Mold,0.9765625,0.8741258741258742,0.922509225092251,143
Tomato__Septoria_leaf_spot,0.9056603773584906,0.9056603773584906,0.9056603773584906,265
Tomato__Spider_mites Two-spotted_spider_mite,0.9411764705882353,0.8888888888888888,0.9142857142857143,252
Tomato__Target_Spot,0.8316326530612245,0.7761904761904762,0.8029556650246306,210
Tomato__Tomato_Yellow_Leaf_Curl_Virus,0.9435957696827262,0.9987562189054726,0.970392749244713,804
Tomato__Tomato_mosaic_virus,0.6153846153846154,1.0,0.7619047619047619,56
Tomato__healthy,0.7687296416938111,0.9874476987447699,0.8644688644688645,239
