class,precision,recall,f1,support
Apple_scab,0.9560439560439561,1.0,0.9775280898876404,87
Bacterial_spot,0.9947575360419397,0.9463840399002493,0.9699680511182108,802
Black_rot,0.9814814814814815,0.9962406015037594,0.9888059701492538,266
Cedar_apple_rust,1.0,1.0,1.0,39
Cercospora_leaf_spot Gray_leaf_spot,0.9516129032258065,0.7662337662337663,0.8489208633093526,77
Common_rust_,0.994413407821229,0.994413407821229,0.994413407821229,179
Early_blight,0.9695817490494296,0.8614864864864865,0.9123434704830053,296
Esca_(Black_Measles),0.9951456310679612,0.9951456310679612,0.9951456310679612,206
Late_blight,0.9924050632911392,0.9333333333333333,0.9619631901840491,420
Leaf_Mold,0.9606299212598425,0.8531468531468531,0.9037037037037037,143
Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,161
Leaf_scorch,1.0,1.0,1.0,166
Northern_Leaf_Blight,0.8834355828220859,0.972972972972973,0.9260450160771704,148
Powdery_mildew,1.0,1.0,1.0,149
Septoria_leaf_spot,0.937007874015748,0.9015151515151515,0.918918918918919,264
Spider_mites Two-spotted_spider_mite,0.9487179487179487,0.8809523809523809,0.9135802469135802,252
Target_Spot,0.7297297297297297,0.9,0.8059701492537313,210
Tomato_Yellow_Leaf_Curl_Virus,0.9696601941747572,0.9937810945273632,0.9815724815724816,804
Tomato_mosaic_virus,0.7466666666666667,1.0,0.8549618320610687,56
healthy,0.9565217391304348,0.9924812030075187,0.974169741697417,1197
