class,precision,recall,f1,support
Bacterial_spot,0.9858156028368794,0.8714733542319749,0.9251247920133111,319
Early_blight,0.9811320754716981,0.6933333333333334,0.8125,150
Late_blight,0.967391304347826,0.9335664335664335,0.9501779359430605,286
Leaf_Mold,0.9696969696969697,0.8951048951048951,0.9309090909090909,143
Septoria_leaf_spot,0.928030303030303,0.9245283018867925,0.9262759924385633,265
Spider_mites Two-spotted_spider_mite,0.9221789883268483,0.9404761904761905,0.931237721021611,252
Target_Spot,0.7836734693877551,0.9142857142857143,0.843956043956044,210
Tomato_Yellow_Leaf_Curl_Virus,0.975609756097561,0.9950248756218906,0.9852216748768473,804
Tomato_mosaic_virus,0.7368421052631579,1.0,0.8484848484848485,56
healthy,0.8872180451127819,0.9874476987447699,0.9346534653465347,239
